total_receive,total_send,total_compute,timestamp
273,94,265,7238.0
276,96,266,7338.0
280,98,268,7438.0
285,100,273,7538.0
288,102,275,7638.0
292,104,277,7738.0
298,106,281,7838.0
301,108,283,7938.0
305,110,284,8038.0
309,112,286,8138.0
314,114,291,8238.0
320,116,296,8338.0
325,118,301,8438.0
331,120,306,8538.0
336,122,311,8638.0
341,124,315,8738.0
345,126,317,8838.0
351,128,323,8938.0
356,130,327,9038.0
362,132,333,9138.0
367,134,338,9238.0
372,136,341,9338.0
376,138,343,9438.0
382,140,349,9538.0
388,142,355,9638.0
392,144,358,9738.0
397,146,361,9838.0
401,148,365,9938.0
404,150,365,10038.0
410,152,371,10138.0
412,154,371,10238.0
416,156,374,10338.0
421,158,378,10438.0
427,160,383,10538.0
433,162,389,10638.0
437,164,392,10738.0
443,166,397,10838.0
447,168,399,10938.0
452,170,404,11038.0
457,172,408,11138.0
463,174,414,11238.0
469,176,420,11338.0
474,178,425,11438.0
480,180,430,11538.0
485,182,435,11638.0
489,184,438,11738.0
493,186,440,11838.0
499,188,446,11938.0
503,190,449,12038.0
507,192,453,12138.0
512,194,457,12238.0
518,196,462,12338.0
522,198,466,12438.0
527,200,469,12538.0
533,202,474,12638.0
538,204,478,12738.0
544,206,484,12838.0
546,208,485,12938.0
552,210,489,13038.0
557,212,493,13138.0
561,214,494,13238.0
566,216,498,13338.0
571,218,502,13438.0
574,220,504,13538.0
577,222,505,13638.0
581,224,506,13738.0
587,226,510,13838.0
591,228,514,13938.0
596,230,516,14038.0
600,232,519,14138.0
605,234,523,14238.0
607,236,523,14338.0
612,238,526,14438.0
617,240,531,14538.0
623,242,536,14638.0
629,244,542,14738.0
633,246,544,14838.0
637,248,547,14938.0
642,250,550,15038.0
646,252,552,15138.0
649,254,555,15238.0
655,256,558,15338.0
660,258,563,15438.0
664,260,565,15538.0
670,262,568,15638.0
675,264,571,15738.0
680,266,576,15838.0
683,268,576,15938.0
689,270,582,16038.0
693,272,585,16138.0
699,274,590,16238.0
704,276,594,16338.0
710,278,600,16438.0
716,280,606,16538.0
721,282,611,16638.0
726,284,614,16738.0
731,286,618,16838.0
734,288,620,16938.0
739,290,623,17038.0
745,292,629,17138.0
749,294,633,17238.0
753,296,636,17338.0
757,298,636,17438.0
762,300,639,17538.0
765,302,639,17638.0
770,304,643,17738.0
775,306,647,17838.0
780,308,651,17938.0
785,310,655,18038.0
790,312,659,18138.0
795,314,663,18238.0
801,316,669,18338.0
805,318,673,18438.0
807,320,674,18538.0
813,322,678,18638.0
816,324,680,18738.0
821,326,683,18838.0
827,328,689,18938.0
833,330,695,19038.0
837,332,699,19138.0
842,334,701,19238.0
848,336,705,19338.0
853,338,710,19438.0
857,340,713,19538.0
861,342,715,19638.0
866,344,717,19738.0
871,346,721,19838.0
877,348,727,19938.0
883,350,733,20038.0
887,352,735,20138.0
893,354,741,20238.0
898,356,746,20338.0
902,358,747,20438.0
908,360,753,20538.0
914,362,759,20638.0
917,364,762,20738.0
920,366,763,20838.0
926,368,768,20938.0
932,370,774,21038.0
938,372,780,21138.0
944,374,786,21238.0
950,376,792,21338.0
954,378,794,21438.0
958,380,798,21538.0
963,382,800,21638.0
968,384,805,21738.0
973,386,809,21838.0
976,388,811,21938.0
981,390,815,22038.0
986,392,820,22138.0
990,394,821,22238.0
992,396,823,22338.0
998,398,827,22438.0
1004,400,833,22538.0
1008,402,835,22638.0
1014,404,841,22738.0
1019,406,846,22838.0
1023,408,849,22938.0
1028,410,853,23038.0
1033,412,857,23138.0
1037,414,860,23238.0
1041,416,862,23338.0
1047,418,866,23438.0
1053,420,872,23538.0
1059,422,878,23638.0
1065,424,884,23738.0
1071,426,890,23838.0
1076,428,895,23938.0
1081,430,899,24038.0
1085,432,902,24138.0
1090,434,906,24238.0
1095,436,909,24338.0
1097,438,909,24438.0
1101,440,912,24538.0
1107,442,916,24638.0
1112,444,920,24738.0
1117,446,924,24838.0
1122,448,929,24938.0
1128,450,934,25038.0
1132,452,938,25138.0
1136,454,940,25238.0
1140,456,944,25338.0
1145,458,947,25438.0
1151,460,952,25539.0
1157,462,958,25638.0
1163,464,964,25738.0
1169,466,970,25838.0
1174,468,975,25938.0
1179,470,979,26038.0
1183,472,982,26138.0
1188,474,986,26238.0
1193,476,991,26338.0
1198,478,994,26438.0
1204,480,999,26538.0
1207,482,1001,26638.0
1212,484,1005,26738.0
1217,486,1010,26838.0
1221,488,1012,26938.0
1225,490,1013,27038.0
1230,492,1018,27138.0
1235,494,1022,27238.0
1239,496,1024,27338.0
1243,498,1026,27438.0
1248,500,1029,27538.0
1253,502,1033,27638.0
1258,504,1037,27738.0
1262,506,1040,27838.0
1267,508,1044,27938.0
1270,510,1046,28038.0
1276,512,1049,28138.0
1282,514,1055,28238.0
1287,516,1059,28338.0
1291,518,1062,28438.0
1295,520,1064,28538.0
1300,522,1069,28638.0
1304,524,1071,28738.0
1310,526,1077,28838.0
1312,528,1079,28938.0
1317,530,1081,29038.0
1323,532,1086,29138.0
1326,534,1088,29238.0
1331,536,1092,29338.0
1337,538,1097,29438.0
1340,540,1098,29538.0
1344,542,1101,29638.0
1348,544,1104,29738.0
1352,546,1108,29838.0
1356,548,1111,29938.0
1359,550,1114,30038.0
1364,552,1118,30138.0
1368,554,1122,30238.0
1372,556,1126,30338.0
1375,558,1128,30438.0
1379,560,1129,30538.0
1382,562,1131,30638.0
1385,564,1133,30738.0
1388,566,1135,30838.0
1393,568,1140,30938.0
1398,570,1144,31038.0
1402,572,1148,31138.0
1406,574,1150,31238.0
1409,576,1151,31338.0
1414,578,1153,31438.0
1418,580,1157,31538.0
1423,582,1160,31638.0
1428,584,1164,31738.0
1433,586,1167,31838.0
1438,588,1172,31939.0
1441,590,1174,32039.0
1445,592,1175,32139.0
1450,594,1177,32238.0
1454,596,1181,32338.0
1459,598,1183,32438.0
1465,600,1189,32539.0
1467,602,1189,32638.0
1471,604,1191,32738.0
1474,606,1193,32838.0
1477,608,1195,32938.0
1481,610,1198,33038.0
1485,612,1202,33138.0
1491,614,1206,33238.0
1496,616,1211,33338.0
1500,618,1214,33438.0
1505,620,1218,33538.0
1508,622,1220,33638.0
1511,624,1222,33738.0
1513,626,1224,33838.0
1517,628,1227,33938.0
1521,630,1230,34038.0
1525,632,1233,34138.0
1529,634,1235,34238.0
1533,636,1237,34338.0
1536,638,1240,34438.0
1540,640,1243,34538.0
1544,642,1246,34638.0
1548,644,1249,34738.0
1552,646,1252,34838.0
1556,648,1254,34938.0
1560,650,1257,35038.0
1564,652,1261,35138.0
1568,654,1263,35238.0
1572,656,1267,35338.0
1576,658,1271,35438.0
1580,660,1274,35538.0
1582,662,1275,35638.0
1585,664,1276,35738.0
1589,666,1279,35838.0
1593,668,1281,35938.0
1596,670,1284,36038.0
1599,672,1285,36138.0
1603,674,1289,36238.0
1605,676,1291,36338.0
1609,678,1294,36438.0
1613,680,1297,36538.0
1617,682,1300,36638.0
1621,684,1304,36738.0
1625,686,1307,36838.0
1628,688,1309,36938.0
1632,690,1312,37038.0
1635,692,1315,37138.0
1639,694,1317,37238.0
1643,696,1320,37338.0
1647,698,1323,37438.0
1651,700,1326,37538.0
1654,702,1328,37638.0
1658,704,1332,37738.0
1662,706,1336,37838.0
1666,708,1340,37938.0
1670,710,1344,38038.0
1674,712,1348,38138.0
1678,714,1352,38238.0
