total_receive,total_send,total_compute,timestamp
1040,223,997,24781.0
1044,224,1001,24881.0
1048,225,1005,24981.0
1052,226,1009,25081.0
1056,227,1012,25181.0
1060,228,1015,25281.0
1064,229,1019,25381.0
1068,230,1023,25481.0
1072,231,1027,25581.0
1076,232,1031,25681.0
1080,233,1035,25781.0
1084,234,1039,25881.0
1088,235,1043,25981.0
1092,236,1047,26081.0
1096,237,1051,26181.0
1100,238,1055,26281.0
1104,239,1059,26381.0
1108,240,1063,26481.0
1111,241,1066,26581.0
1115,242,1069,26681.0
1118,243,1072,26781.0
1122,244,1075,26881.0
1126,245,1078,26981.0
1130,246,1081,27081.0
1134,247,1085,27181.0
1138,248,1089,27281.0
1142,249,1093,27381.0
1146,250,1097,27481.0
1150,251,1101,27581.0
1154,252,1105,27681.0
1158,253,1109,27781.0
1162,254,1113,27881.0
1165,255,1116,27981.0
1169,256,1119,28081.0
1173,257,1123,28181.0
1177,258,1127,28281.0
1181,259,1130,28381.0
1185,260,1133,28481.0
1189,261,1137,28581.0
1193,262,1141,28681.0
1197,263,1144,28781.0
1201,264,1148,28881.0
1205,265,1151,28981.0
1209,266,1155,29081.0
1213,267,1158,29181.0
1217,268,1162,29281.0
1221,269,1165,29381.0
1225,270,1169,29481.0
1228,271,1172,29581.0
1232,272,1175,29681.0
1236,273,1179,29781.0
1240,274,1183,29881.0
1244,275,1187,29981.0
1247,276,1190,30081.0
1251,277,1190,30181.0
1255,278,1194,30281.0
1259,279,1198,30381.0
1263,280,1202,30481.0
1267,281,1206,30581.0
1271,282,1209,30681.0
1275,283,1212,30781.0
1279,284,1216,30881.0
1283,285,1220,30981.0
1287,286,1224,31081.0
1291,287,1228,31181.0
1295,288,1232,31281.0
1299,289,1235,31381.0
1303,290,1238,31481.0
1307,291,1242,31581.0
1310,292,1245,31681.0
1314,293,1248,31781.0
1318,294,1252,31881.0
1322,295,1256,31981.0
1326,296,1256,32081.0
1330,297,1260,32181.0
1334,298,1264,32281.0
1338,299,1267,32381.0
1341,300,1269,32481.0
1345,301,1272,32581.0
1349,302,1276,32681.0
1353,303,1280,32781.0
1356,304,1283,32881.0
1360,305,1286,32981.0
1364,306,1290,33081.0
1368,307,1294,33181.0
1371,308,1296,33281.0
1375,309,1296,33381.0
1379,310,1300,33481.0
1383,311,1304,33581.0
1387,312,1308,33681.0
1391,313,1312,33781.0
1393,314,1312,33881.0
1396,315,1314,33981.0
1399,316,1317,34081.0
1402,317,1320,34181.0
1406,318,1323,34281.0
1411,319,1327,34381.0
1415,320,1331,34481.0
1417,321,1333,34581.0
1420,322,1333,34681.0
1425,323,1333,34781.0
1430,324,1338,34881.0
1435,325,1343,34981.0
1439,326,1347,35081.0
1444,327,1352,35181.0
1449,328,1357,35281.0
1452,329,1360,35381.0
1456,330,1363,35481.0
1459,331,1366,35581.0
1464,332,1369,35681.0
1467,333,1372,35781.0
1471,334,1375,35881.0
1475,335,1378,35981.0
1480,336,1383,36081.0
1483,337,1386,36181.0
1486,338,1388,36281.0
1490,339,1391,36381.0
1494,340,1395,36481.0
1497,341,1398,36581.0
1501,342,1401,36681.0
1504,343,1404,36781.0
1508,344,1407,36881.0
1512,345,1411,36981.0
1516,346,1415,37081.0
1520,347,1419,37181.0
1524,348,1423,37281.0
1528,349,1426,37381.0
1531,350,1428,37481.0
1536,351,1432,37581.0
1541,352,1437,37681.0
1545,353,1441,37781.0
1547,354,1443,37881.0
1550,355,1445,37981.0
1554,356,1448,38081.0
1557,357,1451,38181.0
1561,358,1454,38281.0
1563,359,1456,38381.0
1567,360,1458,38481.0
1571,361,1462,38581.0
1574,362,1465,38681.0
1578,363,1468,38781.0
1581,364,1471,38881.0
1584,365,1473,38981.0
1588,366,1476,39081.0
1593,367,1480,39181.0
1597,368,1484,39281.0
1601,369,1488,39381.0
1605,370,1492,39481.0
1609,371,1496,39581.0
1612,372,1499,39681.0
1616,373,1502,39781.0
1619,374,1505,39881.0
1623,375,1509,39981.0
1627,376,1513,40081.0
1631,377,1516,40181.0
1635,378,1519,40281.0
1640,379,1523,40381.0
1644,380,1527,40481.0
1648,381,1531,40581.0
1652,382,1534,40681.0
1655,383,1537,40781.0
1660,384,1540,40881.0
1665,385,1545,40981.0
1670,386,1550,41081.0
1675,387,1555,41181.0
1679,388,1559,41281.0
1683,389,1562,41381.0
1688,390,1566,41481.0
1692,391,1570,41581.0
1697,392,1574,41681.0
1702,393,1579,41781.0
1706,394,1583,41881.0
1711,395,1587,41981.0
1716,396,1592,42081.0
1720,397,1596,42181.0
1725,398,1600,42281.0
1730,399,1605,42381.0
1735,400,1610,42481.0
1740,401,1615,42581.0
1744,402,1619,42681.0
1747,403,1621,42781.0
1752,404,1624,42881.0
1756,405,1628,42981.0
1760,406,1632,43081.0
1765,407,1636,43181.0
1769,408,1640,43281.0
1773,409,1643,43381.0
1777,410,1646,43481.0
1781,411,1649,43581.0
1786,412,1653,43681.0
1791,413,1658,43781.0
1796,414,1663,43881.0
1801,415,1668,43981.0
1804,416,1671,44081.0
1808,417,1673,44181.0
1812,418,1676,44281.0
1817,419,1680,44381.0
1821,420,1684,44481.0
1825,421,1687,44581.0
1829,422,1691,44681.0
1834,423,1695,44781.0
1839,424,1700,44881.0
1844,425,1705,44981.0
1849,426,1710,45081.0
1852,427,1713,45181.0
1855,428,1716,45281.0
1860,429,1719,45381.0
1865,430,1724,45481.0
1869,431,1724,45581.0
1874,432,1728,45681.0
1878,433,1732,45781.0
1882,434,1736,45881.0
1885,435,1739,45981.0
1890,436,1742,46081.0
1895,437,1747,46181.0
1900,438,1752,46281.0
1905,439,1757,46381.0
1909,440,1761,46481.0
1912,441,1764,46581.0
1917,442,1767,46681.0
1921,443,1771,46781.0
1926,444,1775,46881.0
1929,445,1778,46981.0
1933,446,1781,47081.0
1937,447,1784,47181.0
1940,448,1786,47281.0
1943,449,1789,47381.0
1946,450,1792,47481.0
1950,451,1795,47581.0
1955,452,1799,47681.0
1960,453,1804,47781.0
1965,454,1808,47881.0
1969,455,1812,47981.0
1973,456,1816,48081.0
1977,457,1820,48181.0
1981,458,1823,48281.0
1986,459,1827,48381.0
1990,460,1831,48481.0
1994,461,1834,48581.0
1999,462,1838,48681.0
2003,463,1842,48781.0
2008,464,1846,48881.0
2013,465,1851,48981.0
2018,466,1856,49081.0
2022,467,1860,49181.0
2027,468,1864,49281.0
2032,469,1869,49381.0
2037,470,1873,49481.0
2042,471,1878,49581.0
2047,472,1883,49681.0
2051,473,1887,49781.0
2055,474,1890,49881.0
2060,475,1894,49981.0
2065,476,1899,50081.0
2070,477,1904,50181.0
2075,478,1909,50281.0
2079,479,1913,50381.0
2083,480,1916,50481.0
2086,481,1919,50581.0
2089,482,1921,50681.0
2093,483,1924,50781.0
2097,484,1927,50881.0
2102,485,1931,50981.0
2106,486,1935,51081.0
2111,487,1939,51181.0
2115,488,1939,51281.0
2119,489,1942,51381.0
2124,490,1947,51481.0
2129,491,1952,51581.0
2134,492,1957,51681.0
2139,493,1962,51781.0
2144,494,1964,51881.0
2149,495,1966,51981.0
2153,496,1970,52081.0
2158,497,1974,52181.0
2162,498,1978,52281.0
2167,499,1982,52381.0
2171,500,1986,52481.0
2176,501,1990,52581.0
2180,502,1994,52681.0
2185,503,1997,52781.0
2189,504,2001,52881.0
2194,505,2005,52981.0
2198,506,2009,53081.0
2203,507,2013,53181.0
2207,508,2017,53281.0
2211,509,2021,53381.0
2216,510,2025,53481.0
2221,511,2030,53581.0
2225,512,2034,53681.0
2229,513,2037,53781.0
2234,514,2041,53881.0
2238,515,2045,53981.0
2242,516,2049,54081.0
2247,517,2053,54181.0
2250,518,2056,54281.0
2254,519,2058,54381.0
2257,520,2061,54481.0
2262,521,2064,54581.0
2266,522,2068,54681.0
2271,523,2072,54781.0
2276,524,2077,54881.0
2280,525,2081,54981.0
2285,526,2085,55081.0
2290,527,2090,55181.0
2295,528,2095,55281.0
2299,529,2099,55381.0
2304,530,2103,55481.0
2309,531,2108,55581.0
2313,532,2112,55681.0
2318,533,2116,55781.0
2322,534,2120,55881.0
2326,535,2123,55981.0
2331,536,2127,56081.0
2336,537,2132,56181.0
2340,538,2136,56281.0
2344,539,2140,56381.0
2349,540,2144,56481.0
2353,541,2148,56581.0
2358,542,2152,56681.0
2363,543,2157,56781.0
2368,544,2162,56881.0
2372,545,2166,56981.0
2375,546,2168,57081.0
2380,547,2171,57181.0
2384,548,2175,57281.0
2388,549,2178,57381.0
2393,550,2182,57481.0
2398,551,2187,57581.0
2401,552,2190,57681.0
2406,553,2193,57781.0
2411,554,2198,57881.0
2416,555,2203,57981.0
2421,556,2208,58081.0
2426,557,2213,58181.0
2429,558,2216,58281.0
2432,559,2218,58381.0
2434,560,2220,58481.0
2439,561,2222,58581.0
2444,562,2222,58681.0
2449,563,2227,58781.0
2451,564,2229,58881.0
2456,565,2231,58981.0
2461,566,2236,59081.0
2466,567,2241,59181.0
2471,568,2246,59281.0
2475,569,2250,59381.0
2480,570,2254,59481.0
2484,571,2258,59581.0
2488,572,2261,59681.0
2491,573,2264,59781.0
2496,574,2267,59881.0
2500,575,2271,59981.0
2505,576,2275,60081.0
2509,577,2279,60181.0
2514,578,2283,60281.0
2519,579,2288,60381.0
2524,580,2293,60481.0
2529,581,2298,60581.0
2534,582,2303,60681.0
2538,583,2307,60781.0
2543,584,2311,60881.0
2547,585,2315,60981.0
2550,586,2318,61081.0
2555,587,2321,61181.0
2560,588,2326,61281.0
2563,589,2329,61381.0
2568,590,2332,61481.0
2573,591,2337,61581.0
2578,592,2342,61681.0
2583,593,2347,61781.0
2588,594,2352,61881.0
2593,595,2357,61981.0
2598,596,2362,62081.0
2603,597,2367,62181.0
2608,598,2372,62281.0
2612,599,2376,62381.0
2617,600,2380,62481.0
2622,601,2385,62581.0
2627,602,2390,62681.0
2632,603,2395,62781.0
2635,604,2398,62881.0
2640,605,2401,62981.0
2644,606,2405,63081.0
2649,607,2409,63181.0
2654,608,2414,63281.0
2658,609,2418,63381.0
2663,610,2422,63481.0
2668,611,2427,63581.0
2673,612,2432,63681.0
2677,613,2436,63781.0
2682,614,2440,63881.0
2686,615,2444,63981.0
2691,616,2448,64081.0
2695,617,2452,64181.0
2700,618,2456,64281.0
2705,619,2461,64381.0
2709,620,2465,64481.0
2713,621,2468,64581.0
2718,622,2472,64681.0
2721,623,2475,64781.0
2726,624,2478,64881.0
2731,625,2483,64981.0
2736,626,2488,65081.0
2741,627,2493,65181.0
2746,628,2498,65281.0
2751,629,2503,65381.0
2756,630,2508,65481.0
2761,631,2513,65581.0
2765,632,2517,65681.0
2768,633,2520,65781.0
2771,634,2523,65881.0
2775,635,2526,65981.0
2779,636,2530,66081.0
2784,637,2535,66181.0
2788,638,2539,66281.0
2792,639,2543,66381.0
2796,640,2547,66481.0
2801,641,2551,66581.0
2803,642,2553,66681.0
2805,643,2555,66781.0
2810,644,2557,66881.0
2814,645,2561,66981.0
2818,646,2565,67081.0
2822,647,2569,67181.0
2824,648,2571,67281.0
2828,649,2573,67381.0
2833,650,2577,67481.0
2838,651,2582,67581.0
2842,652,2586,67681.0
2846,653,2590,67781.0
2850,654,2593,67881.0
2854,655,2597,67981.0
2859,656,2601,68081.0
2863,657,2605,68181.0
2867,658,2608,68281.0
2871,659,2611,68381.0
2875,660,2615,68481.0
2879,661,2618,68581.0
2884,662,2622,68681.0
2888,663,2626,68781.0
2892,664,2630,68881.0
2896,665,2634,68981.0
2899,666,2637,69081.0
2902,667,2640,69181.0
2906,668,2643,69281.0
2909,669,2646,69381.0
2911,670,2648,69481.0
2915,671,2650,69581.0
2918,672,2653,69681.0
2921,673,2655,69781.0
2925,674,2658,69881.0
2928,675,2661,69981.0
2932,676,2664,70081.0
2935,677,2667,70181.0
2939,678,2670,70281.0
2943,679,2674,70381.0
2947,680,2678,70481.0
2951,681,2682,70581.0
2954,682,2685,70681.0
2958,683,2688,70781.0
2961,684,2691,70881.0
2965,685,2694,70981.0
2969,686,2698,71081.0
2973,687,2702,71181.0
2977,688,2706,71281.0
2981,689,2710,71381.0
2985,690,2714,71481.0
2988,691,2717,71581.0
2992,692,2719,71681.0
2995,693,2721,71781.0
2999,694,2724,71881.0
3003,695,2727,71981.0
3007,696,2731,72081.0
3011,697,2735,72181.0
3014,698,2738,72281.0
3017,699,2740,72381.0
3020,700,2742,72481.0
3024,701,2745,72581.0
3028,702,2749,72681.0
3032,703,2753,72781.0
3035,704,2756,72881.0
3039,705,2759,72981.0
3043,706,2763,73081.0
3047,707,2767,73181.0
3051,708,2770,73281.0
3055,709,2773,73381.0
3059,710,2777,73481.0
3062,711,2780,73581.0
3066,712,2783,73681.0
3070,713,2787,73781.0
3074,714,2790,73881.0
3078,715,2793,73981.0
3080,716,2795,74081.0
3083,717,2796,74181.0
3086,718,2798,74281.0
3090,719,2801,74381.0
3093,720,2804,74481.0
3096,721,2806,74581.0
3099,722,2809,74681.0
3104,723,2812,74781.0
3107,724,2815,74881.0
3111,725,2818,74981.0
3115,726,2822,75081.0
3118,727,2825,75181.0
3122,728,2828,75281.0
3127,729,2832,75381.0
3131,730,2836,75481.0
3136,731,2840,75581.0
3141,732,2845,75681.0
3145,733,2849,75781.0
3150,734,2853,75881.0
3155,735,2858,75981.0
3159,736,2862,76081.0
3164,737,2866,76181.0
3168,738,2870,76281.0
3171,739,2872,76381.0
3173,740,2874,76481.0
3178,741,2876,76581.0
3182,742,2876,76681.0
3186,743,2879,76781.0
3190,744,2883,76881.0
3192,745,2885,76981.0
3196,746,2887,77081.0
3200,747,2891,77181.0
3203,748,2894,77281.0
3208,749,2897,77381.0
3212,750,2901,77481.0
3215,751,2904,77581.0
3217,752,2906,77681.0
3221,753,2908,77781.0
3224,754,2911,77881.0
3229,755,2915,77981.0
3233,756,2919,78081.0
3236,757,2921,78181.0
3240,758,2924,78281.0
3244,759,2928,78381.0
3249,760,2932,78481.0
3254,761,2937,78581.0
3259,762,2942,78681.0
3264,763,2947,78781.0
3268,764,2951,78881.0
3272,765,2955,78981.0
3277,766,2959,79081.0
3281,767,2963,79181.0
3284,768,2966,79281.0
3287,769,2968,79381.0
3292,770,2971,79481.0
3296,771,2975,79581.0
3299,772,2977,79681.0
3304,773,2980,79781.0
3309,774,2985,79881.0
3313,775,2989,79981.0
3318,776,2993,80081.0
3322,777,2997,80181.0
3326,778,3000,80281.0
3331,779,3004,80381.0
3336,780,3009,80481.0
3341,781,3014,80581.0
3345,782,3018,80681.0
3349,783,3021,80781.0
3354,784,3025,80881.0
3359,785,3030,80981.0
3363,786,3034,81081.0
3368,787,3038,81181.0
3373,788,3043,81281.0
3376,789,3046,81381.0
3381,790,3049,81481.0
3386,791,3054,81581.0
3389,792,3057,81681.0
3394,793,3060,81781.0
3398,794,3064,81881.0
3402,795,3068,81981.0
3406,796,3072,82081.0
3410,797,3075,82181.0
3414,798,3079,82281.0
3417,799,3081,82381.0
3422,800,3084,82481.0
3427,801,3089,82581.0
3431,802,3093,82681.0
3435,803,3096,82781.0
3440,804,3100,82881.0
3444,805,3104,82981.0
3448,806,3107,83081.0
3453,807,3111,83181.0
3458,808,3116,83281.0
3463,809,3121,83381.0
3468,810,3126,83481.0
3473,811,3131,83581.0
3478,812,3136,83681.0
3483,813,3141,83781.0
3487,814,3145,83881.0
3489,815,3147,83981.0
3494,816,3149,84081.0
3499,817,3154,84181.0
3503,818,3158,84281.0
3506,819,3160,84381.0
3511,820,3163,84481.0
3516,821,3168,84581.0
3521,822,3173,84681.0
3524,823,3176,84781.0
3528,824,3179,84881.0
3533,825,3183,84981.0
3537,826,3187,85081.0
3540,827,3190,85181.0
3545,828,3193,85281.0
3550,829,3198,85381.0
3555,830,3203,85481.0
3559,831,3207,85581.0
3563,832,3211,85681.0
3566,833,3214,85781.0
3571,834,3216,85881.0
3575,835,3220,85981.0
3580,836,3225,86081.0
3585,837,3230,86181.0
3590,838,3235,86281.0
3594,839,3235,86381.0
3599,840,3235,86481.0
3604,841,3240,86581.0
3608,842,3244,86681.0
3611,843,3246,86781.0
3616,844,3249,86881.0
3621,845,3254,86981.0
3625,846,3258,87081.0
3629,847,3261,87181.0
3634,848,3265,87281.0
3639,849,3270,87381.0
3642,850,3273,87481.0
3647,851,3276,87581.0
3651,852,3280,87681.0
3656,853,3284,87781.0
3661,854,3289,87881.0
3666,855,3294,87981.0
3671,856,3299,88081.0
3675,857,3303,88181.0
3680,858,3307,88281.0
3685,859,3312,88381.0
3689,860,3316,88481.0
3694,861,3320,88581.0
3697,862,3323,88681.0
3700,863,3326,88781.0
3705,864,3329,88881.0
3710,865,3334,88981.0
3715,866,3339,89081.0
3720,867,3344,89181.0
3725,868,3349,89281.0
3728,869,3352,89381.0
3732,870,3355,89481.0
3736,871,3358,89581.0
3740,872,3361,89681.0
3744,873,3364,89781.0
3748,874,3368,89881.0
3753,875,3372,89981.0
3756,876,3375,90081.0
3761,877,3378,90181.0
3766,878,3383,90281.0
3770,879,3387,90381.0
3774,880,3390,90481.0
3779,881,3394,90581.0
3783,882,3398,90681.0
3787,883,3401,90781.0
3792,884,3405,90881.0
3797,885,3410,90981.0
3801,886,3414,91081.0
3803,887,3416,91181.0
3808,888,3418,91281.0
3811,889,3421,91381.0
3815,890,3423,91481.0
3817,891,3425,91581.0
3822,892,3427,91681.0
3826,893,3431,91781.0
3830,894,3434,91881.0
3834,895,3437,91981.0
3838,896,3440,92081.0
3842,897,3443,92181.0
3847,898,3447,92281.0
3852,899,3452,92381.0
3856,900,3456,92481.0
3861,901,3460,92581.0
3866,902,3465,92681.0
3870,903,3469,92781.0
3874,904,3472,92881.0
3879,905,3476,92981.0
3883,906,3480,93081.0
3888,907,3484,93181.0
3893,908,3489,93281.0
3897,909,3493,93381.0
3902,910,3497,93481.0
3907,911,3502,93581.0
3911,912,3506,93681.0
3916,913,3510,93781.0
3920,914,3514,93881.0
3924,915,3517,93981.0
3929,916,3521,94081.0
3934,917,3526,94181.0
3938,918,3530,94281.0
3942,919,3533,94381.0
3945,920,3535,94481.0
3950,921,3538,94581.0
3954,922,3542,94681.0
3959,923,3546,94781.0
3963,924,3550,94881.0
3968,925,3554,94981.0
3972,926,3558,95081.0
3977,927,3562,95181.0
3982,928,3567,95281.0
3986,929,3571,95381.0
3990,930,3574,95481.0
3994,931,3577,95581.0
3999,932,3581,95681.0
4004,933,3586,95781.0
4009,934,3591,95881.0
4013,935,3595,95981.0
4018,936,3599,96081.0
4022,937,3603,96181.0
4026,938,3606,96281.0
4031,939,3610,96381.0
4035,940,3614,96481.0
4040,941,3618,96581.0
4045,942,3623,96681.0
4050,943,3628,96781.0
4055,944,3633,96881.0
4060,945,3638,96981.0
4065,946,3643,97081.0
4070,947,3648,97181.0
4074,948,3652,97281.0
