total_receive,total_send,total_compute,timestamp
422,107,407,18556.0
425,108,410,18656.0
427,108,412,18756.0
430,109,415,18856.0
433,110,418,18956.0
434,110,418,19056.0
437,111,421,19156.0
440,112,423,19256.0
442,112,425,19356.0
445,113,427,19456.0
448,114,430,19556.0
450,114,432,19656.0
453,115,435,19756.0
456,116,438,19856.0
457,116,439,19956.0
460,117,442,20056.0
463,118,444,20156.0
465,118,446,20256.0
468,119,449,20356.0
471,120,452,20456.0
473,120,454,20556.0
476,121,457,20656.0
477,122,458,20756.0
479,122,459,20856.0
482,123,461,20956.0
485,124,464,21056.0
487,124,466,21156.0
490,125,469,21256.0
493,126,472,21356.0
495,126,474,21456.0
498,127,477,21556.0
501,128,480,21656.0
502,128,481,21756.0
505,129,484,21856.0
508,130,486,21956.0
510,130,488,22056.0
513,131,491,22156.0
516,132,494,22256.0
518,132,496,22356.0
521,133,499,22456.0
524,134,502,22556.0
525,134,503,22656.0
528,135,505,22756.0
531,136,507,22856.0
533,136,509,22956.0
536,137,512,23056.0
539,138,515,23156.0
541,138,517,23256.0
544,139,520,23356.0
547,140,523,23456.0
548,140,524,23556.0
551,141,527,23656.0
554,142,529,23756.0
555,142,530,23856.0
558,143,533,23956.0
561,144,535,24056.0
563,144,537,24156.0
566,145,540,24256.0
569,146,542,24356.0
571,146,544,24456.0
574,147,547,24556.0
577,148,550,24656.0
579,148,552,24756.0
582,149,555,24856.0
585,150,558,24956.0
586,150,559,25056.0
589,151,562,25156.0
592,152,564,25256.0
594,152,566,25356.0
597,153,569,25456.0
600,154,572,25556.0
602,154,574,25656.0
605,155,576,25756.0
608,156,579,25856.0
610,156,581,25956.0
613,157,584,26056.0
616,158,587,26156.0
617,158,588,26256.0
620,159,591,26356.0
621,160,592,26456.0
623,160,593,26556.0
626,161,595,26656.0
629,162,598,26756.0
631,162,600,26856.0
634,163,601,26956.0
637,164,602,27056.0
639,164,604,27156.0
642,165,607,27256.0
645,166,610,27356.0
647,166,612,27456.0
649,167,614,27556.0
652,168,616,27656.0
654,168,618,27756.0
657,169,621,27856.0
659,170,623,27956.0
661,170,625,28056.0
664,171,627,28156.0
667,172,630,28256.0
669,172,632,28356.0
672,173,635,28456.0
675,174,638,28556.0
677,174,640,28656.0
680,175,643,28756.0
683,176,646,28856.0
685,176,648,28956.0
688,177,651,29056.0
691,178,654,29156.0
693,178,656,29256.0
696,179,659,29356.0
699,180,662,29456.0
701,180,664,29556.0
704,181,667,29656.0
707,182,670,29756.0
709,182,672,29856.0
712,183,675,29956.0
714,184,677,30056.0
716,184,679,30156.0
719,185,681,30256.0
722,186,684,30356.0
724,186,686,30456.0
727,187,689,30556.0
730,188,692,30656.0
732,188,694,30756.0
734,189,696,30856.0
737,190,698,30956.0
739,190,700,31056.0
742,191,701,31156.0
744,192,702,31256.0
746,192,703,31356.0
749,193,704,31456.0
752,194,705,31556.0
754,194,707,31656.0
757,195,710,31756.0
760,196,713,31856.0
762,196,715,31956.0
765,197,718,32056.0
767,198,720,32156.0
769,198,721,32256.0
772,199,724,32356.0
775,200,727,32456.0
777,200,729,32556.0
780,201,732,32656.0
782,202,734,32756.0
784,202,736,32856.0
787,203,738,32956.0
789,204,740,33056.0
791,204,741,33156.0
793,205,743,33256.0
796,206,745,33356.0
798,206,747,33456.0
801,207,750,33556.0
804,208,753,33656.0
806,208,755,33756.0
809,209,758,33856.0
811,210,760,33956.0
813,210,761,34056.0
816,211,764,34156.0
819,212,766,34256.0
821,212,768,34356.0
824,213,770,34456.0
826,214,772,34556.0
828,214,773,34656.0
831,215,775,34756.0
833,216,776,34856.0
834,216,777,34956.0
837,217,780,35056.0
840,218,782,35156.0
842,218,784,35256.0
845,219,787,35356.0
847,220,789,35456.0
848,220,790,35556.0
851,221,793,35656.0
854,222,795,35756.0
856,222,797,35856.0
859,223,800,35956.0
862,224,803,36056.0
864,224,805,36156.0
867,225,807,36256.0
869,226,809,36356.0
871,226,810,36456.0
874,227,813,36556.0
877,228,816,36656.0
879,228,818,36756.0
882,229,821,36856.0
885,230,824,36956.0
887,230,826,37056.0
890,231,829,37156.0
892,232,831,37256.0
894,232,832,37356.0
897,233,835,37456.0
900,234,838,37556.0
902,234,840,37656.0
904,235,842,37756.0
907,236,845,37856.0
909,236,846,37956.0
912,237,849,38056.0
915,238,852,38156.0
917,238,854,38256.0
920,239,857,38356.0
923,240,860,38456.0
925,240,862,38556.0
928,241,865,38656.0
931,242,868,38756.0
932,242,869,38856.0
935,243,872,38956.0
938,244,874,39056.0
