total_receive,total_send,total_compute,timestamp
6390,1450,5753,75030.0
6398,1452,5760,75130.0
6407,1454,5768,75230.0
6416,1456,5777,75330.0
6424,1458,5782,75430.0
6433,1460,5790,75530.0
6443,1462,5800,75630.0
6450,1464,5807,75730.0
6459,1466,5813,75830.0
6469,1468,5822,75930.0
6478,1470,5830,76030.0
6487,1472,5838,76130.0
6497,1474,5848,76230.0
6505,1476,5856,76330.0
6513,1478,5861,76430.0
6521,1480,5867,76530.0
6527,1482,5871,76630.0
6537,1484,5880,76730.0
6546,1486,5889,76830.0
6555,1488,5897,76930.0
6563,1490,5902,77030.0
6569,1492,5908,77130.0
6579,1494,5916,77230.0
6586,1496,5922,77330.0
6596,1498,5931,77430.0
6606,1500,5941,77530.0
6615,1502,5950,77630.0
6624,1504,5954,77730.0
6634,1506,5963,77830.0
6643,1508,5971,77930.0
6652,1510,5980,78030.0
6662,1512,5989,78130.0
6669,1514,5994,78230.0
6677,1516,6001,78330.0
6686,1518,6009,78430.0
6696,1520,6018,78530.0
6704,1522,6024,78630.0
6711,1524,6029,78730.0
6720,1526,6036,78830.0
6729,1528,6044,78930.0
6739,1530,6054,79030.0
6745,1532,6060,79130.0
6753,1534,6065,79230.0
6762,1536,6072,79330.0
6772,1538,6081,79430.0
6779,1540,6087,79530.0
6786,1542,6090,79630.0
6794,1544,6097,79730.0
6802,1546,6104,79830.0
6809,1548,6109,79930.0
6818,1550,6117,80030.0
6828,1552,6126,80130.0
6835,1554,6130,80230.0
6843,1556,6136,80330.0
6852,1558,6144,80430.0
6859,1560,6147,80530.0
6868,1562,6155,80630.0
6878,1564,6165,80730.0
6885,1566,6172,80830.0
6893,1568,6177,80930.0
6903,1570,6187,81030.0
6913,1572,6197,81130.0
6922,1574,6206,81230.0
6931,1576,6214,81330.0
6940,1578,6222,81430.0
6949,1580,6229,81530.0
6959,1582,6239,81630.0
6969,1584,6249,81730.0
6975,1586,6255,81830.0
6984,1588,6260,81930.0
6990,1590,6264,82030.0
7000,1592,6271,82130.0
7008,1594,6279,82230.0
7016,1596,6286,82330.0
7025,1598,6293,82430.0
7032,1600,6300,82530.0
7041,1602,6307,82630.0
7046,1604,6312,82730.0
7056,1606,6318,82830.0
7065,1608,6326,82930.0
7072,1610,6332,83030.0
7082,1612,6341,83130.0
7088,1614,6344,83230.0
7098,1616,6349,83330.0
7102,1618,6353,83430.0
7112,1620,6360,83530.0
7121,1622,6368,83630.0
7129,1624,6374,83730.0
7138,1626,6382,83830.0
7145,1628,6388,83930.0
7152,1630,6393,84030.0
7161,1632,6401,84130.0
7170,1634,6405,84230.0
7179,1636,6412,84330.0
7188,1638,6420,84430.0
7194,1640,6425,84530.0
7203,1642,6432,84630.0
7211,1644,6440,84730.0
7220,1646,6446,84830.0
7230,1648,6451,84930.0
7240,1650,6461,85030.0
7248,1652,6467,85130.0
7256,1654,6474,85230.0
7264,1656,6481,85330.0
7269,1658,6483,85430.0
7278,1660,6490,85530.0
7285,1662,6494,85630.0
7295,1664,6504,85730.0
7304,1666,6512,85830.0
7312,1668,6520,85930.0
7319,1670,6524,86030.0
7328,1672,6533,86130.0
7338,1674,6542,86230.0
7345,1676,6549,86330.0
7354,1678,6555,86430.0
7361,1680,6559,86530.0
7370,1682,6567,86630.0
7377,1684,6574,86730.0
7384,1686,6577,86830.0
7394,1688,6587,86930.0
7402,1690,6593,87030.0
7409,1692,6600,87130.0
7414,1694,6602,87230.0
7421,1696,6606,87330.0
7430,1698,6615,87430.0
7435,1700,6619,87530.0
7444,1702,6625,87630.0
7449,1704,6630,87730.0
7458,1706,6636,87830.0
7467,1708,6645,87930.0
7475,1710,6653,88030.0
7483,1712,6661,88130.0
7488,1714,6664,88230.0
7497,1716,6672,88330.0
7503,1718,6678,88430.0
7511,1720,6685,88530.0
7519,1722,6693,88630.0
7528,1724,6702,88730.0
7537,1726,6710,88830.0
7545,1728,6717,88930.0
7554,1730,6726,89030.0
7564,1732,6735,89130.0
7571,1734,6741,89230.0
7578,1736,6747,89330.0
7585,1738,6753,89430.0
7591,1740,6758,89530.0
7594,1742,6760,89630.0
7600,1744,6763,89730.0
7607,1746,6768,89830.0
7615,1748,6774,89930.0
7623,1750,6781,90030.0
7630,1752,6787,90130.0
7637,1754,6793,90230.0
7644,1756,6799,90330.0
7651,1758,6805,90430.0
7659,1760,6812,90530.0
7667,1762,6820,90630.0
7674,1764,6826,90730.0
7680,1766,6832,90830.0
7683,1768,6834,90930.0
7688,1770,6838,91030.0
7696,1772,6844,91130.0
7703,1774,6851,91230.0
7710,1776,6856,91330.0
7717,1778,6862,91430.0
7722,1780,6866,91530.0
7728,1782,6871,91630.0
7734,1784,6874,91730.0
7742,1786,6880,91830.0
7748,1788,6886,91930.0
7756,1790,6892,92030.0
7762,1792,6898,92130.0
7768,1794,6902,92230.0
7774,1796,6906,92330.0
7780,1798,6911,92430.0
7787,1800,6917,92530.0
7792,1802,6921,92630.0
7800,1804,6928,92730.0
7807,1806,6934,92830.0
7811,1808,6938,92930.0
7819,1810,6944,93030.0
7825,1812,6950,93130.0
7833,1814,6957,93230.0
7840,1816,6964,93330.0
7844,1818,6966,93430.0
7848,1820,6969,93530.0
7855,1822,6973,93630.0
7862,1824,6979,93730.0
7870,1826,6984,93830.0
7880,1828,6994,93930.0
7888,1830,7000,94030.0
7892,1832,7002,94130.0
7901,1834,7010,94230.0
7907,1836,7016,94330.0
7917,1838,7024,94430.0
7926,1840,7032,94530.0
7934,1842,7040,94630.0
7943,1844,7047,94730.0
7949,1846,7053,94830.0
7957,1848,7058,94930.0
7964,1850,7065,95030.0
7972,1852,7070,95130.0
7977,1854,7072,95230.0
7984,1856,7078,95330.0
7990,1858,7082,95430.0
7998,1860,7089,95530.0
8003,1862,7094,95630.0
8007,1864,7096,95730.0
8013,1866,7101,95830.0
8018,1868,7104,95930.0
8027,1870,7111,96030.0
8030,1872,7113,96130.0
8038,1874,7119,96230.0
8048,1876,7128,96330.0
8057,1878,7137,96430.0
8065,1880,7145,96530.0
8074,1882,7153,96630.0
8084,1884,7162,96730.0
8093,1886,7170,96830.0
8103,1888,7180,96930.0
8113,1890,7190,97030.0
8123,1892,7200,97130.0
8132,1894,7208,97230.0
8139,1896,7212,97330.0
8149,1898,7222,97430.0
8159,1900,7232,97530.0
8165,1902,7238,97630.0
8173,1904,7243,97730.0
8182,1906,7250,97830.0
8191,1908,7258,97930.0
8200,1910,7266,98030.0
8209,1912,7274,98130.0
8217,1914,7280,98230.0
8224,1916,7285,98330.0
8234,1918,7291,98430.0
8243,1920,7300,98530.0
8252,1922,7307,98630.0
8258,1924,7312,98730.0
8267,1926,7318,98830.0
8276,1928,7326,98930.0
