total_receive,total_send,total_compute,timestamp
6171,1600,5751,242442.0
6174,1600,5753,242542.0
6177,1601,5756,242642.0
6181,1602,5760,242742.0
6183,1602,5762,242842.0
6186,1603,5765,242942.0
6190,1604,5767,243042.0
6192,1604,5769,243142.0
6195,1605,5771,243242.0
6198,1606,5773,243342.0
6200,1606,5775,243442.0
6203,1607,5778,243542.0
6207,1608,5781,243642.0
6210,1608,5784,243742.0
6213,1609,5787,243842.0
6217,1610,5791,243942.0
6220,1610,5794,244042.0
6223,1611,5797,244142.0
6227,1612,5801,244242.0
6229,1612,5803,244342.0
6232,1613,5806,244442.0
6235,1614,5809,244542.0
6237,1614,5811,244642.0
6240,1615,5814,244742.0
6243,1616,5817,244842.0
6245,1616,5819,244942.0
6248,1617,5822,245042.0
6251,1618,5825,245142.0
6254,1618,5827,245242.0
6257,1619,5830,245342.0
6260,1620,5833,245442.0
6262,1620,5835,245542.0
6265,1621,5838,245642.0
6268,1622,5841,245742.0
6270,1622,5843,245842.0
6273,1623,5846,245942.0
6276,1624,5849,246042.0
6278,1624,5851,246142.0
6281,1625,5854,246242.0
6285,1626,5857,246342.0
6287,1626,5859,246442.0
6290,1627,5862,246542.0
6293,1628,5865,246642.0
6296,1628,5867,246742.0
6299,1629,5870,246842.0
6303,1630,5874,246942.0
6305,1630,5876,247042.0
6308,1631,5879,247142.0
6311,1632,5882,247242.0
6313,1632,5884,247342.0
6316,1633,5886,247442.0
6319,1634,5889,247542.0
6321,1634,5891,247642.0
6324,1635,5894,247742.0
6327,1636,5897,247842.0
6329,1636,5899,247942.0
6332,1637,5902,248042.0
6335,1638,5905,248142.0
6337,1638,5907,248242.0
6340,1639,5910,248342.0
6343,1640,5913,248442.0
6345,1640,5915,248542.0
6347,1641,5917,248642.0
6350,1642,5919,248742.0
6352,1642,5921,248842.0
6355,1643,5924,248942.0
6358,1644,5927,249042.0
6360,1644,5929,249142.0
6363,1645,5932,249242.0
6366,1646,5935,249342.0
6368,1646,5937,249442.0
6371,1647,5940,249542.0
6375,1648,5943,249642.0
6378,1648,5946,249742.0
6381,1649,5949,249842.0
6384,1650,5952,249942.0
6386,1650,5954,250042.0
6389,1651,5957,250142.0
6393,1652,5961,250242.0
6395,1652,5963,250342.0
6398,1653,5966,250442.0
6402,1654,5970,250542.0
6404,1654,5972,250642.0
6407,1655,5975,250742.0
6410,1656,5978,250842.0
6412,1656,5980,250942.0
6415,1657,5983,251042.0
6418,1658,5986,251142.0
6420,1658,5988,251242.0
6423,1659,5991,251342.0
6427,1660,5994,251442.0
6429,1660,5996,251542.0
6432,1661,5999,251642.0
6435,1662,6002,251742.0
6437,1662,6004,251842.0
6440,1663,6007,251942.0
6443,1664,6010,252042.0
6446,1664,6013,252142.0
6449,1665,6016,252242.0
6452,1666,6019,252342.0
6454,1666,6021,252442.0
6456,1667,6023,252542.0
6459,1668,6025,252642.0
6461,1668,6027,252742.0
6464,1669,6030,252842.0
6467,1670,6033,252942.0
6469,1670,6035,253042.0
6472,1671,6038,253142.0
6475,1672,6041,253242.0
6478,1672,6043,253342.0
6481,1673,6046,253442.0
6485,1674,6050,253542.0
6487,1674,6052,253642.0
6490,1675,6055,253742.0
6494,1676,6058,253842.0
6497,1676,6061,253942.0
6500,1677,6064,254042.0
6504,1678,6068,254142.0
6506,1678,6070,254242.0
6509,1679,6073,254342.0
6512,1680,6076,254442.0
6514,1680,6078,254542.0
6517,1681,6081,254642.0
6520,1682,6084,254742.0
6523,1682,6086,254842.0
6526,1683,6089,254942.0
6530,1684,6093,255042.0
6533,1684,6096,255142.0
6536,1685,6099,255242.0
6540,1686,6103,255342.0
6543,1686,6106,255442.0
6546,1687,6109,255542.0
6550,1688,6113,255642.0
6553,1688,6116,255742.0
6556,1689,6119,255842.0
