total_receive,total_send,total_compute,timestamp
6635,1713,5823,173794.0
6639,1714,5827,173894.0
6643,1715,5831,173994.0
6647,1716,5835,174094.0
6651,1717,5839,174194.0
6655,1718,5843,174294.0
6659,1719,5847,174394.0
6662,1720,5850,174494.0
6666,1721,5853,174594.0
6670,1722,5857,174694.0
6674,1723,5861,174794.0
6677,1724,5864,174894.0
6681,1725,5867,174994.0
6685,1726,5871,175094.0
6688,1727,5874,175194.0
6691,1728,5877,175294.0
6694,1729,5880,175394.0
6697,1730,5883,175494.0
6700,1731,5885,175594.0
6704,1732,5888,175694.0
6708,1733,5892,175794.0
6712,1734,5892,175894.0
6716,1735,5896,175994.0
6720,1736,5900,176094.0
6724,1737,5904,176194.0
6727,1738,5907,176294.0
6731,1739,5910,176394.0
6735,1740,5914,176494.0
6739,1741,5918,176594.0
6743,1742,5922,176694.0
6747,1743,5926,176794.0
6751,1744,5930,176894.0
6755,1745,5934,176994.0
6759,1746,5938,177094.0
6763,1747,5942,177194.0
6766,1748,5945,177294.0
6769,1749,5947,177394.0
6773,1750,5950,177494.0
6777,1751,5954,177594.0
6780,1752,5957,177694.0
6784,1753,5960,177794.0
6788,1754,5964,177894.0
6792,1755,5968,177994.0
6796,1756,5972,178094.0
6800,1757,5976,178194.0
6804,1758,5980,178294.0
6807,1759,5983,178394.0
6811,1760,5986,178494.0
6815,1761,5990,178594.0
6819,1762,5994,178694.0
6823,1763,5998,178794.0
6826,1764,6001,178894.0
6830,1765,6004,178994.0
6833,1766,6007,179094.0
6836,1767,6010,179194.0
6840,1768,6013,179294.0
6843,1769,6016,179394.0
6847,1770,6019,179494.0
6850,1771,6022,179594.0
6853,1772,6025,179694.0
6856,1773,6028,179794.0
6859,1774,6031,179894.0
6862,1775,6034,179994.0
6865,1776,6037,180094.0
6868,1777,6040,180194.0
6872,1778,6043,180294.0
6876,1779,6047,180394.0
6880,1780,6051,180494.0
6883,1781,6054,180594.0
6887,1782,6057,180694.0
6890,1783,6060,180794.0
6894,1784,6063,180894.0
6898,1785,6067,180994.0
6902,1786,6071,181094.0
6906,1787,6075,181194.0
6910,1788,6079,181294.0
6914,1789,6083,181394.0
6918,1790,6087,181494.0
6922,1791,6091,181594.0
6926,1792,6095,181694.0
6930,1793,6099,181794.0
6933,1794,6102,181894.0
6937,1795,6105,181994.0
6941,1796,6109,182094.0
6945,1797,6113,182194.0
6949,1798,6117,182294.0
6952,1799,6120,182394.0
6956,1800,6123,182494.0
6959,1801,6126,182594.0
6963,1802,6129,182694.0
6967,1803,6133,182794.0
6970,1804,6136,182894.0
6973,1805,6138,182994.0
6977,1806,6141,183094.0
6979,1807,6143,183194.0
6981,1808,6144,183294.0
6985,1809,6146,183394.0
6989,1810,6150,183494.0
6993,1811,6154,183594.0
6997,1812,6158,183694.0
7000,1813,6161,183794.0
7003,1814,6164,183894.0
7007,1815,6167,183994.0
7011,1816,6171,184094.0
